SampleID,qPCR16S
1015A,53793846.01
1015D,3877.486655
1015G,5280993.704
1015H,733244.6306
1016A,5752710.005
1042A,1439097286
1042AA,64922014.53
1042B,155711609
1042BB,9159433.458
1042C,275287921.1
1042D,168770943.5
1042E,200388359.9
1042F,114788082.3
1042G,88949948.59
1042H,174282773.3
1042HH,29836365.99
1042I,401409209.3
1042II,79623358.18
1042J,184612203.9
1042JJ,1558674.228
1042K,110715256.6
1042KK,37512148.09
1042L,45116965.95
1042M,43236722.69
1042N,74180317.64
1042O,490891562.7
1042P,150223745.5
1042Q,302107828.7
1042R,57639060.11
1042S,116283613
1042T,101793823
1042U,10326.71135
1042V,17455651.91
1042W,61618494.46
1042X,151200324.4
1042Y,298944044.4
1042Z,74139448.43
1044A,394722150.3
1044B,20950854.01
1044C,87588851.91
1044D,23289345.98
1044E,93660253.37
1044F,52671688.6
1044G,50793995.67
1044H,74659901.17
1044I,54922044.66
1044J,58067274.07
1044K,31657399.15
1044L,32540465.17
1044M,97584565.66
1044N,285944601.6
1044O,254984837
1044P,28989296.22
1044Q,282748173.9
1044R,360017172.9
1044S,9469558.359
1045F,18902361.64
1045G,2303812.458
1045H,5104238.43
1045I,12121103.22
1045J,476429.1525
1045L,28859862.41
1045M,28133484.31
1045N,12620604.09
1045O,14817886.73
1045P,10174346.67
1083A,323985827.9
1083B,67716749.57
1092L,189563889.3
1092O,72232424.24
1092P,1780851590
1105A,445846675.9
1105B,295878914.3
1105C,52444082.28
1105D,252076854
1105E,43876123.12
1105F,94917986.45
1105G,205646651.4
1105H,55642459.4
1105I,181908259.8
1105J,111689181.7
1105K,105730213.3
1105L,256372514.1
1105M,486764333.3
1105N,77694160.83
1105O,198432748.7
1105P,178371509.8
1105Q,177935727.9
1105R,189109682.3
1105S,83399656.47
1105T,233867265.5
1105U,156845513
1107R,84921981.86
1107T,119489185.8
1133D,94262735.79
1133E,25893682.73
1143BB,16774229.73
1143CC,22142630.41
1143D,28480802.28
1143DD,58185501.15
1143E,1506878.003
1143EE,23887193.01
1143J,19862444.09
1143K,2981222.18
1143M,64839.46166
1143N,2304926.535
1143O,2328832.724
1143Q,928019.6594
1143T,8204191.803
1143V,3015655.882
1143W,2208105.415
1143X,6060245.541
1143Y,21533666.67
1155A,2982077.041
1155B,7133214.841
1157DD,5.639448573
1157E,2600127.024
1157F,41885.36508
1157K,49.9581754
1157L,4251.181082
1157M,4583.830246
1157S,46.30953409
1157T,43.74585515
1157U,56861.02359
1157V,1484.668799
1157W,206887.6102
1157X,24006.30407
1157Y,321.0781097
1157Z,189.6339973
1158A,448282647.3
1158B,666698202.9
1158C,961623070.2
1158D,58587442.75
1158E,104070830.3
1158F,63102730.32
1158G,85029313.87
1158H,39210747.28
1158I,7836915.556
1158J,1531043.664
1158K,435792.5548
1158L,113086.8634
1158M,196574.5401
1158N,156398.963
1158R,5525023.459
1158S,16466435.23
1158T,5511463.585
1158U,1697923.944
1158V,23813833.82
1160Q,29823081.35
1160R,27444069.33
1160S,22474867.7
1160T,25170593.72
1160U,21503732.75
1160V,24661885.52
1163E,8159236.991
1163G,1969155.077
1163H,3686853.333
1163I,2191550.357
1163J,27555424.76
1163L,14580292.2
1163M,16047169.79
1163N,7144441.706
1163O,7679910.168
1163R,18058271.36
1163S,54259885.5
1163T,47105458.97
1163U,308052442.3
1167A,125871.5201
1167AA,262568758
1167C,21534.5811
1167D,39527.55876
1167DD,162451.9723
1167EE,437437.2454
1167F,11525.12418
1167FF,786.6450291
1167G,222162.9145
1167GG,66015222.44
1167I,2261.013983
1167MM,3737.56735
1167PP,2456379.514
1167RR,53450956.79
1167SS,14909282.23
1167TT,42948603.08
1167UU,26623.97473
1167VV,67017.16627
1167W,19590334.38
1167WW,0
1170D,22904817.03
1170E,10899885.67
1170F,19483.43313
1170H,0
1170I,2375828.393
1170J,949.4268629
1170K,26403.78367
1170L,1837318.492
1170M,229416.2441
1170O,0
1170P,19624405.59
1170Q,143453810.1
1170S,56704182.19
1170T,848655400
1171BB,47948338.73
1171CC,1892167.869
1171DD,120088161.5
1171E,465180.2163
1171EE,53113140.55
1171F,184698.0799
1171J,9155990.304
1171K,3233901.093
